stationId,zipcode,lat,long
3249,11216,40.6803560840434,-73.9476791024208
3254,10004,40.69231660719192,-74.01486575603485
3255,10001,40.7505853470215,-73.9946848154068
3256,10014,40.7277140777778,-74.01129573583603
3259,10001,40.74937024193277,-73.99923384189606
3260,10012,40.72706363348306,-73.99662137031554
3263,10003,40.72951496224949,-73.99075269699097
3267,07302,40.7124188237569,-74.03852552175522
3268,07304,40.71346382669195,-74.06285852193832
3269,07302,40.72601172964625,-74.05038893222809
3270,07302,40.72528910781132,-74.04557168483734
3272,07302,40.72333158646436,-74.04595255851744
3273,07302,40.721650724879986,-74.04288411140442
3275,07302,40.71835519823214,-74.03891444206238
3276,07302,40.71458403535893,-74.04281705617905
3277,07304,40.71435836870427,-74.06661093235016
3278,07302,40.72568548362901,-74.04879033565521
3279,07302,40.721630142638354,-74.04996782541275
3280,07304,40.71928220070702,-74.07126188278198
3281,07307,40.74590996631558,-74.0572714805603
3282,10128,40.78307,-73.95939
3283,10024,40.7882213,-73.97041561
3284,10128,40.781410700190015,-73.95595908164978
3285,10024,40.78839,-73.9747
3286,10128,40.7806284,-73.9521667
3287,10024,40.789622,-73.97757
3288,10128,40.778301,-73.9488134
3289,10024,40.79017948095081,-73.97288918495178
3290,10128,40.7779453,-73.946041
3292,10128,40.7857851,-73.957481
3293,10025,40.7921,-73.9739
3294,10128,40.7835016,-73.955327
3295,10025,40.79127,-73.964839
3296,10128,40.782454175279874,-73.9489196240902
3297,11215,40.6686627,-73.97988067
3298,11201,40.686371,-73.99383324
3299,10029,40.78813,-73.95206
3300,11215,40.66514681533792,-73.97637605667114
3301,10025,40.7919557,-73.968087
3302,10025,40.7969347,-73.9643412291
3303,11231,40.6849894,-73.99440329
3304,11215,40.668127,-73.98377641
3305,10128,40.78112229934166,-73.94965589046478
3306,11215,40.6662078,-73.98199886
3307,10025,40.7941654,-73.974124
3308,11201,40.6861758,-73.99645295
3309,10029,40.7859201,-73.94860294
3310,11215,40.663779,-73.98396846
3311,11231,40.68763155,-74.0016256
3312,10128,40.7817212,-73.94594
3313,11215,40.6663181,-73.9854617
3314,10025,40.7937704,-73.971888
3315,11231,40.6847514,-73.99917254
3317,11215,40.6686273,-73.98700053
3318,10128,40.7839636,-73.9471673
3319,11215,40.666287,-73.98895053
3320,10025,40.79406660818552,-73.96286845207214
3321,11231,40.6831164,-73.99785267
3322,11215,40.668603,-73.9904394
3323,10025,40.7981856,-73.9605909006
3324,11215,40.6685455,-73.99333264
3325,10128,40.7849032,-73.950503
3326,11231,40.67434,-74.00194698
3327,10029,40.7877214,-73.94728331
3328,10025,40.795,-73.9645
3329,11231,40.6829151,-73.99318208
3330,11231,40.6725058,-74.00494695
3331,10025,40.8013434,-73.9711457439
3332,11217,40.681990442707026,-73.99079024791718
3333,11231,40.6747055,-74.0075572
3335,11215,40.6772744,-73.98282002
3336,10029,40.787801,-73.953559
3337,11231,40.67363551341504,-74.01195555925369
3338,10029,40.7862586,-73.94552579
3339,11217,40.6765304,-73.97846879
3340,11231,40.6753274,-74.0100698
3341,10025,40.795346,-73.96186
3342,11231,40.6777748,-74.0094613
3343,10025,40.7997568,-73.9621128676
3344,11231,40.679043,-74.011169
3345,10029,40.78948541553215,-73.95242929458618
3346,11217,40.675146838709786,-73.97523209452629
3347,11231,40.6773429,-74.01275056
3348,11231,40.677236,-74.015665
3349,11238,40.6729679,-73.97087984
3350,10025,40.7973721,-73.97041192
3351,10029,40.7869946,-73.94164802
3352,11231,40.67267243410948,-74.0087952464819
3354,11215,40.668132,-73.97363831
3355,10065,40.76800889305947,-73.96845281124115
3356,10023,40.7746671,-73.98470567
3357,10025,40.8008363,-73.9664492472
3358,11215,40.6711978,-73.97484126
3359,10065,40.7691572,-73.96703464
3360,10024,40.7829391,-73.9786517
3361,11215,40.6740886,-73.9787282
3362,10028,40.7781314,-73.96069399
3363,10029,40.7904828,-73.95033068
3364,11215,40.6751622,-73.9814832
3365,11215,40.6703837,-73.97839676
3366,10025,40.8021174,-73.9681805305
3367,10029,40.7922553,-73.95249933
3368,11215,40.6728155,-73.98352355
3369,10028,40.7724607,-73.9468208
3370,10075,40.7727966,-73.95577801
3372,10021,40.7689738,-73.95482273
3373,11215,40.6750705,-73.98775226
3374,10029,40.799484,-73.955613
3375,10021,40.7699426,-73.96060712
3376,10065,40.76471851944339,-73.96222069859505
3377,11231,40.6786115,-73.99037292
3378,10021,40.773763,-73.96222088
3379,10029,40.7903051,-73.94755757
3381,11231,40.6777287,-73.99364123
3382,11231,40.680611,-73.99475825
3383,10025,40.804213,-73.96699104
3384,11231,40.6787242,-73.99599099
3386,11231,40.6809591,-73.99905709
3387,10029,40.7934337,-73.94945003
3388,11231,40.6828003,-73.99990419
3389,11231,40.6830456,-74.00348559
3390,10029,40.79329668,-73.9432083
3391,10029,40.7892529,-73.93956237
3392,11231,40.6812117,-74.00860912
3393,11231,40.6794327,-74.00785041
3394,11231,40.6769993,-74.00647134
3395,11231,40.6763744,-74.00324957
3396,11231,40.6783563,-74.00014502
3397,11231,40.6763947,-73.99869893
3398,11231,40.6746957,-73.99785768
3399,11215,40.67260298150126,-73.98983001708984
3400,10029,40.7961535,-73.94782145
3402,11201,40.6902375,-73.99203074
